10	100	19216800000203	1541873388000	103	600.00000	0.00000	0.66667	0.00000	-1	0.00000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.00000	0.00000	30.00000	0.00000		
13	8	19216800000203	1541873388000	1103	1584.00000	0.00000	0.81818	0.00000	-1	0.00000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00000	0.00000	44.00000	0.00000		
12	100	19216800000203	1541873388000	1102	2990.50000	254.50000	0.88715	0.04505	159.66387	0.00000	182.86241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.50000	3.50000	58.00000	1.00000		
14	1	19216800000203	1541873389500	606,506,406,306,206	33735.00000,37734.66667,38449.50000,37366.00000,30966.00000	2759.00000,1359.51568,1366.50000,2882.11913,1741.95828	0.51259,0.55979,0.58155,0.62684,0.60118	0.03994,0.02288,0.04543,0.03146,0.01686	198.41270,243.92637,281.04654,186.48019,112.12370	0.00000,48.02748,29.29829,47.32375,48.77862	184.23639,177.64670,172.87498,186.98106,177.51045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.50000,145.33333,149.50000,153.00000,136.33333	10.50000,5.43650,8.50000,9.27362,2.62467	256.50000,259.66667,257.50000,244.00000,227.00000	0.50000,2.49444,5.50000,5.88784,8.98146		
15	100	19216800000203	1541873389500	602,502,402,303,203	3721.00000,3831.00000,3269.00000,3365.00000,2843.50000	305.00000,506.96811,133.00000,37.00000,285.74245	1.00000,1.08197,1.08333,1.19872,1.12365	0.08197,0.06693,0.08333,0.03205,0.06630	190.47619,293.95597,388.23246,226.98135,170.53756	0.00000,133.70926,94.52616,66.72494,62.52311	184.39871,174.28941,166.75948,175.03026,167.15230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.00000,64.33333,59.50000,63.50000,56.50000	5.00000,6.23610,3.50000,0.50000,4.33013	61.00000,59.33333,55.00000,53.00000,50.25000	0.00000,2.35702,1.00000,1.00000,1.47902		
17	100	19216800000203	1541873395500	803,902,1002,1202,1204	4807.00000,4192.00000,3790.00000,2751.66667,1755.00000	583.00000,32.00000,370.00000,718.28886,0.00000	0.93939,0.97716,1.01862,1.07489,1.15385	0.03030,0.00746,0.03401,0.05758,0.00000	714.28571,525.00000,423.10190,359.13200,183.45324	0.00000,189.28571,87.38761,126.87597,183.45324	348.69007,1.19349,2.26050,60.37625,-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.00000,64.00000,62.00000,53.66667,45.00000	3.00000,0.00000,2.00000,6.34210,0.00000	71.50000,65.50000,61.00000,50.33333,39.00000	5.50000,0.50000,4.00000,8.05536,0.00000		
12	100	19216800000202	1541873398500	702,502,402,303,203,103	3368.00000,3025.00000,2921.00000,2574.00000,2513.00000,2126.00000	508.00000,165.00000,269.00000,78.00000,17.00000,202.00000	1.06922,1.00000,1.03708,1.05147,1.13949,1.03913	0.12376,0.05455,0.01747,0.03186,0.05616,0.07826	878.04878,701.09336,446.85157,351.44928,288.96882,-1	0.00000,176.95542,77.28636,18.11594,44.36451,120.86070	181.04163,183.53229,159.27444,170.53768,170.21759,171.46923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.00000,55.00000,55.00000,52.00000,53.50000,47.00000	8.00000,3.00000,3.00000,0.00000,1.50000,4.00000	56.00000,55.00000,53.00000,49.50000,47.00000,45.20000	1.00000,0.00000,2.00000,1.50000,1.00000,0.40000		
13	1	19216800000202	1541873403000	407,507	25850.00000,24867.50000	1210.00000,227.50000	0.52508,0.46520	0.03401,0.02587	317.46032,291.82368	0.00000,25.63663	349.99202,337.06790	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	116.50000,107.50000	6.50000,2.50000	222.00000,231.50000	2.00000,7.50000		
14	100	19216800000202	1541873403000	404,503	3156.00000,2964.00000	192.00000,0.00000	0.89162,0.91228	0.02066,0.00000	380.95238,363.13806	0.00000,17.81432	339.62356,354.80557	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	53.00000,52.00000	1.00000,0.00000	59.50000,57.00000	2.50000,0.00000		
13	1	19216800000202	1541873407500	1205	7152.00000	0.00000	0.32215	0.00000	-1	79.69093	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.00000	0.00000	149.00000	0.00000		
14	100	19216800000202	1541873407500	1203	560.00000	0.00000	0.71429	0.00000	-1	80.25662	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.00000	0.00000	28.00000	0.00000		
